Name	WT_1_log2.cpm.	WT_2_log2.cpm.	DKO_1_log2.cpm.	DKO_2_log2.cpm.
Sp3	147.8509804	181.5219246	156.7150582	164.3924236
Srek1ip1	20.90824406	22.86390624	20.64899985	24.35253409
Tgfbrap1	36.40336729	37.0653698	37.92296867	37.27147477
Tlk2	37.2456491	36.5550799	33.40518168	38.55911408
Tmem39b	22.97511217	25.00249217	24.06726002	22.7059737
Ubac1	33.26654193	32.26727856	32.42422081	31.62514085
Wbp1	38.05462768	29.77438905	33.47471807	36.25228433
Zfp691	5.819922735	6.538682628	5.101777567	6.811629662
Rpp30	16.4954931	19.01412968	19.13311675	17.39981425
Rpl4	3366.421247	3292.573658	3382.794916	3430.016973
Nf1	22.4866992	27.60772303	24.65827547	24.11735855
Mief1	34.24923835	34.84790449	35.65419683	35.04167907
Fam63b	83.40141756	108.3834	89.26359465	108.0084219
Rhobtb2	93.31260024	92.92532991	92.53966685	89.88447205
Suclg1	110.8142804	100.6358134	104.618922	102.3239463
Anapc7	41.15511947	44.41576701	42.1073448	41.55643529
Fam76a	41.81648812	40.9275386	41.09810589	39.80837291
Fbxo21	24.08394796	23.26356028	21.24424253	24.8642326
Rnf146	47.3075978	51.80430186	45.38048114	51.37519288
Sart1	85.56803171	76.00381863	85.39028286	79.7271946
Oat	90.32165398	93.24794329	94.09198953	85.74615056
Cox6c	157.5864849	149.2927193	156.4979555	143.708342
Carm1	33.45152321	34.7755156	39.36932303	30.71773635
Eif2s1	124.9320654	131.5985698	136.33385	114.2460123
BC003331	35.2121155	31.23301634	31.88928841	36.17697815
Cdk12	28.34456061	41.81648812	33.73092555	34.20179172
Cnn3	115.680349	112.2833342	126.5882773	95.53781653
D430042O09Rik	8.888869829	7.732848777	7.966798025	8.156781464
Hdhd2	25.90215093	26.85278839	26.87140777	27.13343887
Hexim1	51.58930122	71.01244621	57.72002422	61.43547271
Txndc11	105.7856407	106.0058447	107.7093737	99.80221985
Zdhhc7	19.90418645	19.41365696	20.14011478	18.18907157
BC037034_1	9.815079818	9.626424208	10.10501809	8.78474251
Dnlz	30.2738447	27.646022	29.10106406	27.47409397
Dhx8	66.85668882	68.97492128	71.06168535	67.60228002
Eif4a2	297.3462354	307.8321277	265.0278205	325.6097297
Fam120c	8.128561144	8.760419766	8.864258783	7.531827716
Mettl2	16.08896929	13.68003485	15.75786309	13.12276658
Tagln2	286.2238338	316.2671711	298.5854387	290.8234918
Tyw1	49.07784511	43.71328822	46.33402152	44.35423634
Zfp62	41.93258892	50.42264871	43.80428202	46.33402152
1810030O07Rik	72.00374302	76.6386371	71.20960772	74.38810288
Ap1s2	86.10350135	89.69775674	89.5114293	89.82219047
Dkkl1	5.234312286	4.846690642	5.035028694	5.362850366
Elmod2	17.46022203	21.78102586	17.92622743	20.19603251
Nt5dc1	42.34148608	39.26031927	42.25353091	41.18365591
Tmem161b	12.95107546	12.61440278	12.99603834	13.25991847
Tor3a	127.5571536	124.9320654	117.6208491	129.6070153
1110057K04Rik	54.68222342	61.0957449	59.50751633	58.81042454
2810474O19Rik	32.13336138	41.70070878	33.26654193	42.84336822
Arhgap17	132.5139103	128.2664455	129.2481661	126.2377862
Coq10a	12.8794582	12.84379822	11.37661928	13.62325932
Creld2	128.8903104	148.3642818	127.02776	143.8079876
Gramd1a	28.10977498	23.53930793	25.99207668	26.94601452
Gtf2b	57.08342524	58.68825877	61.18050033	57.08342524
Igkv3-1	10.98908987	27.07707509	29.06074937	2.073402202
Mis12	38.13384239	52.60033199	44.69371304	43.53186728
Prcc	46.59166557	48.33512274	46.72102434	46.17371798
Senp6	67.60228002	73.21158229	66.21104522	71.70490971
Sgsm3	10.16120786	8.663800364	9.619753991	8.651798108
Sord	27.79974992	23.63740902	23.37671006	26.704297
Zbed3	14.64158669	14.70260614	15.90049749	14.24121173
Cdkn2c	27.76123799	25.22880557	28.30529393	25.95606898
Jkamp	26.3184022	28.38388176	27.97371585	27.99311248
Msl1	31.10339162	32.13336138	33.40518168	31.25467293
Psmd12	73.66972744	77.92422519	83.57502637	71.357838
Bloc1s4	15.84548595	12.31205776	14.10368253	13.22320509
Fam195b	78.62956675	65.29949819	78.08643266	69.21438486
Gse1	8.196454584	10.12605275	10.51954208	8.421049238
Naa25	25.35151395	27.74200203	28.96020681	22.73747269
Rbmxl1	41.35529058	46.72102434	44.60087164	41.55643529
Tbrg1	100.0793143	95.27329633	91.32892837	100.0793143
Paics	207.6485518	204.3643869	219.3361804	201.550842
Akap8l	28.62095686	26.11849748	26.72281342	26.77843977
Nudt21	45.28621313	42.87307528	49.1800058	41.1266028
Trip11	22.22328217	25.01982858	22.10039117	26.39147356
Ttf2	20.5633014	20.60610607	22.40890113	19.80784465
Dapp1	74.80174391	79.3412928	72.60515104	84.85924866
Adck4	18.0509142	15.20000613	17.557311	14.77411697
Cops5	63.82280009	63.77857682	68.40358344	56.33657687
Lsm12	46.07780219	49.7284652	51.80430186	46.17371798
